date,division,rain_sum
2014-11-14,Kothmale East,45.2
2014-11-15,Kothmale East,11.8
2014-11-16,Kothmale East,43.1
2014-11-17,Kothmale East,13.5
2014-11-18,Kothmale East,24.5
2014-11-19,Kothmale East,35.6
2014-11-20,Kothmale East,27.2
2014-11-21,Kothmale East,20.8
2014-11-22,Kothmale East,69.4
2014-11-23,Kothmale East,33.6
2014-11-24,Kothmale East,27.7
2014-11-25,Kothmale East,25.7
2014-11-26,Kothmale East,20.0
2014-11-27,Kothmale East,37.3
2014-11-28,Kothmale East,14.7
2014-11-29,Kothmale East,3.8
2014-11-30,Kothmale East,0.3
2014-12-01,Kothmale East,9.1
2014-12-02,Kothmale East,20.1
2014-12-03,Kothmale East,5.7
2014-12-04,Kothmale East,0.2
2014-12-05,Kothmale East,4.4
2014-12-06,Kothmale East,23.4
2014-12-07,Kothmale East,11.6
2014-12-08,Kothmale East,22.4
2014-12-09,Kothmale East,21.7
2014-12-10,Kothmale East,31.5
2014-12-11,Kothmale East,51.4
2014-12-12,Kothmale East,24.2
2014-12-13,Kothmale East,44.5
2014-12-14,Kothmale East,1.2
2014-12-15,Kothmale East,12.0
2014-12-16,Kothmale East,34.6
2014-12-17,Kothmale East,55.2
2014-12-18,Kothmale East,27.2
2014-12-19,Kothmale East,15.6
2014-12-20,Kothmale East,145.5
2014-12-21,Kothmale East,5.2
2014-12-22,Kothmale East,71.1
2014-12-23,Kothmale East,70.6
2014-12-24,Kothmale East,45.3
2014-12-25,Kothmale East,71.6
2014-12-26,Kothmale East,41.9
2014-12-27,Kothmale East,3.9
2014-12-28,Kothmale East,21.7
2014-12-29,Kothmale East,5.7
2014-12-30,Kothmale East,3.2
2014-12-31,Kothmale East,1.4
2014-07-01,Passara,1.6
2014-07-02,Passara,7.7
2014-07-03,Passara,5.5
2014-07-04,Passara,0.3
2014-07-05,Passara,7.5
2014-07-06,Passara,19.7
2014-07-07,Passara,5.9
2014-07-08,Passara,7.0
2014-07-09,Passara,0.0
2014-07-10,Passara,1.3
2014-07-11,Passara,0.4
2014-07-12,Passara,0.8
2014-07-13,Passara,0.1
2014-07-14,Passara,0.2
2014-07-15,Passara,0.1
2014-07-16,Passara,0.0
2014-07-17,Passara,0.0
2014-07-18,Passara,1.1
2014-07-19,Passara,1.4
2014-07-20,Passara,0.0
2014-07-21,Passara,0.0
2014-07-22,Passara,0.2
2014-07-23,Passara,0.0
2014-07-24,Passara,0.1
2014-07-25,Passara,0.0
2014-07-26,Passara,6.8
2014-07-27,Passara,3.4
2014-07-28,Passara,4.9
2014-07-29,Passara,1.9
2014-07-30,Passara,0.0
2014-07-31,Passara,0.7
2014-08-01,Passara,4.2
2014-08-02,Passara,11.6
2014-08-03,Passara,15.6
2014-08-04,Passara,9.1
2014-08-05,Passara,13.2
2014-08-06,Passara,12.9
2014-08-07,Passara,2.1
2014-08-08,Passara,11.0
2014-08-09,Passara,4.6
2014-08-10,Passara,16.8
2014-08-11,Passara,6.8
2014-08-12,Passara,19.2
2014-08-13,Passara,6.9
2014-08-14,Passara,4.2
2014-08-15,Passara,10.2
2014-08-16,Passara,22.7
2014-08-17,Passara,15.7
2014-08-18,Passara,8.3
2014-08-19,Passara,12.2
2014-08-20,Passara,14.1
2014-08-21,Passara,11.0
2014-08-22,Passara,20.0
2014-08-23,Passara,2.3
2014-08-24,Passara,7.8
2014-08-25,Passara,4.2
2014-08-26,Passara,0.0
2014-08-27,Passara,0.0
2014-08-28,Passara,0.0
2014-08-29,Passara,0.0
2014-08-30,Passara,0.0
2014-08-31,Passara,0.2
2014-09-01,Passara,2.3
2014-09-02,Passara,14.0
2014-09-03,Passara,9.9
2014-09-04,Passara,9.6
2014-09-05,Passara,7.3
2014-09-06,Passara,6.8
2014-09-07,Passara,2.2
2014-09-08,Passara,1.9
2014-09-09,Passara,9.9
2014-09-10,Passara,14.1
2014-09-11,Passara,9.6
2014-09-12,Passara,4.5
2014-09-13,Passara,1.0
2014-09-14,Passara,0.7
2014-09-15,Passara,1.4
2014-09-16,Passara,0.0
2014-09-17,Passara,8.7
2014-09-18,Passara,0.0
2014-09-19,Passara,0.0
2014-09-20,Passara,0.0
2014-09-21,Passara,0.0
2014-09-22,Passara,0.6
